no,zh_tw,en,aliases
0000,寶可夢,Pokémon,宝可梦|神奇寶貝|小精靈
0001,妙蛙種子,Bulbasaur,妙蛙种子|奇異種子
0002,妙蛙草,Ivysaur,奇異草
0003,妙蛙花,Venusaur,奇異花
0004,小火龍,Charmander,小火龙
0005,火恐龍,Charmeleon,火恐龙
0006,噴火龍,Charizard,喷火龙
0007,傑尼龜,Squirtle,杰尼龟|車厘龜
0008,卡咪龜,Wartortle,卡咪龟|卡美龜
0009,水箭龜,Blastoise,水箭龟
0010,綠毛蟲,Caterpie,绿毛虫
0011,鐵甲蛹,Metapod,铁甲蛹|鐵甲蟲
0012,巴大蝶,Butterfree,巴大蝴|巴他蝶
0013,獨角蟲,Weedle,独角虫
0014,鐵殼蛹,Kakuna,铁壳蛹|鐵殼昆|铁壳昆
0015,大針蜂,Beedrill,大针蜂
0016,波波,Pidgey,
0017,比比鳥,Pidgeotto,比比鸟
0018,大比鳥,Pidgeot,大比鸟|比鵰|比雕
0019,小拉達,Rattata,小拉达|小哥達
0020,拉達,Raticate,拉达|哥達
0021,烈雀,Spearow,鬼雀
0022,大嘴雀,Fearow,魔雀
0023,阿柏蛇,Ekans,
0024,阿柏怪,Arbok,
0025,皮卡丘,Pikachu,比卡超
0026,雷丘,Raichu,雷超
0027,穿山鼠,Sandshrew,
0028,穿山王,Sandslash,
0029,尼多蘭,Nidoran♀,尼多兰|尼美蘭
0030,尼多娜,Nidorina,尼美蘿
0031,尼多后,Nidoqueen,尼美后
0032,尼多朗,Nidoran♂,尼多郎
0033,尼多力諾,Nidorino,尼多力诺|尼多利
0034,尼多王,Nidoking,
0035,皮皮,Clefairy,
0036,皮可西,Clefable,皮可斯
0037,六尾,Vulpix,
0038,九尾,Ninetales,
0039,胖丁,Jigglypuff,波波球
0040,胖可丁,Wigglytuff,肥波球
0041,超音蝠,Zubat,波音蝠
0042,大嘴蝠,Golbat,大口蝠
0043,走路草,Oddish,行路草
0044,臭臭花,Gloom,怪味花
0045,霸王花,Vileplume,
0046,派拉斯,Paras,蘑菇蟲
0047,派拉斯特,Parasect,巨菇蟲
0048,毛球,Venonat,毛毛蟲
0049,摩魯蛾,Venomoth,摩鲁蛾|末入蛾|魔魯風
0050,地鼠,Diglett,
0051,三地鼠,Dugtrio,三頭地鼠
0052,喵喵,Meowth,喵喵怪
0053,貓老大,Persian,猫老大|高竇貓
0054,可達鴨,Psyduck,可达鸭|傻鴨
0055,哥達鴨,Golduck,哥达鸭|高超鴨
0056,猴怪,Mankey,
0057,火爆猴,Primeape,火暴猴
0058,卡蒂狗,Growlithe,護主犬
0059,風速狗,Arcanine,风速狗|奉神犬
0060,蚊香蝌蚪,Poliwag,
0061,蚊香君,Poliwhirl,蚊香蛙
0062,蚊香泳士,Poliwrath,快泳蛙|大力蛙
0063,凱西,Abra,凯西|卡斯
0064,勇基拉,Kadabra,勇吉拉|尤基納
0065,胡地,Alakazam,富迪
0066,腕力,Machop,鐵腕
0067,豪力,Machoke,大力
0068,怪力,Machamp,
0069,喇叭芽,Bellsprout,
0070,口呆花,Weepinbell,
0071,大食花,Victreebel,
0072,瑪瑙水母,Tentacool,玛瑙水母|大眼水母
0073,毒刺水母,Tentacruel,多腳水母
0074,小拳石,Geodude,
0075,隆隆石,Graveler,滾動石
0076,隆隆岩,Golem,滾動岩
0077,小火馬,Ponyta,小火马
0078,烈焰馬,Rapidash,烈焰马
0079,呆呆獸,Slowpoke,呆呆兽|小呆獸
0080,呆殼獸,Slowbro,呆壳兽|呆河馬|大呆獸|呆河马
0081,小磁怪,Magnemite,
0082,三合一磁怪,Magneton,
0083,大蔥鴨,Farfetch'd,大葱鸭|火蔥鴨
0084,嘟嘟,Doduo,多多
0085,嘟嘟利,Dodrio,多多利
0086,小海獅,Seel,小海狮
0087,白海獅,Dewgong,白海狮
0088,臭泥,Grimer,爛泥怪
0089,臭臭泥,Muk,爛泥獸
0090,大舌貝,Shellder,大舌贝|貝殼怪
0091,刺甲貝,Cloyster,刺甲贝|鐵甲貝|铁甲贝
0092,鬼斯,Gastly,
0093,鬼斯通,Haunter,
0094,耿鬼,Gengar,
0095,大岩蛇,Onix,
0096,催眠貘,Drowzee,素利普|食夢獸
0097,引夢貘人,Hypno,引梦貘人|素利拍|催眠獸
0098,大鉗蟹,Krabby,大钳蟹
0099,巨鉗蟹,Kingler,巨钳蟹
0100,霹靂電球,Voltorb,霹雳电球|雷電球|霹靂蛋|雷电球
